Starting program at Sun Jan  9 12:20:51 2022

CUDA_PLAYOUT: 1, N_PLAYOUT: 1

play: 0
20, 101.304 [ms]
22, 91.879 [ms]
24, 82.429 [ms]
26, 73.406 [ms]
28, 65.069 [ms]
30, 57.159 [ms]
32, 49.668 [ms]
34, 43.479 [ms]
36, 37.125 [ms]
38, 31.222 [ms]
40, 25.726 [ms]
42, 20.871 [ms]
44, 16.250 [ms]
46, 12.362 [ms]
48, 9.413 [ms]
50, 6.711 [ms]
52, 4.281 [ms]
54, 2.168 [ms]
56, 0.881 [ms]
58, 0.330 [ms]

play: 9
 0, 218.250 [ms]
 2, 206.668 [ms]
 4, 192.324 [ms]
 6, 180.982 [ms]
 8, 169.398 [ms]
10, 157.309 [ms]
12, 144.828 [ms]
14, 134.014 [ms]
16, 121.801 [ms]
18, 111.208 [ms]
20, 100.781 [ms]
22, 91.175 [ms]
24, 82.171 [ms]
26, 74.179 [ms]
28, 65.735 [ms]
30, 58.125 [ms]
32, 50.619 [ms]
34, 43.694 [ms]
36, 36.640 [ms]
38, 30.403 [ms]
40, 25.910 [ms]
42, 21.132 [ms]
44, 16.872 [ms]
46, 13.116 [ms]
48, 9.832 [ms]
50, 6.826 [ms]
52, 4.601 [ms]
54, 2.805 [ms]
56, 1.426 [ms]
57, 0.673 [ms]
58, 0.461 [ms]
59, 0.285 [ms]


Program end at Sun Jan  9 13:00:15 2022

