Starting program at Sat Jan  8 21:04:30 2022

CUDA_PLAYOUT: 0, N_PLAYOUT: 256

play: 0
 2, 1403.325 [ms]
 4, 1348.143 [ms]
 6, 1275.351 [ms]
 8, 1223.056 [ms]
10, 1157.777 [ms]
12, 1091.806 [ms]
14, 1030.954 [ms]
16, 964.962 [ms]
18, 905.454 [ms]
20, 852.679 [ms]
22, 800.434 [ms]
24, 733.725 [ms]
26, 685.038 [ms]
28, 606.478 [ms]
30, 545.598 [ms]
32, 507.130 [ms]
34, 465.314 [ms]
36, 408.772 [ms]
38, 344.965 [ms]
40, 295.940 [ms]
42, 243.253 [ms]
44, 217.840 [ms]
46, 180.335 [ms]
48, 148.820 [ms]
50, 111.394 [ms]
52, 89.358 [ms]
54, 52.851 [ms]
56, 30.162 [ms]
58, 17.116 [ms]
59, 9.865 [ms]

play: 9
 0, 1446.274 [ms]
 2, 1380.292 [ms]
 4, 1301.355 [ms]
 6, 1240.180 [ms]
 8, 1213.046 [ms]
10, 1158.792 [ms]
12, 1060.201 [ms]
14, 1008.424 [ms]
16, 961.551 [ms]
18, 908.299 [ms]
20, 851.828 [ms]
22, 781.116 [ms]
24, 725.042 [ms]
26, 633.631 [ms]
28, 587.733 [ms]
30, 553.726 [ms]
32, 484.066 [ms]
34, 439.258 [ms]
36, 380.956 [ms]
38, 345.072 [ms]
40, 310.035 [ms]
42, 251.047 [ms]
44, 212.602 [ms]
46, 172.791 [ms]
48, 142.952 [ms]
50, 123.042 [ms]
52, 91.079 [ms]
54, 61.192 [ms]
56, 28.442 [ms]
58, 12.868 [ms]


Program end at Sun Jan  9 02:24:27 2022

