Starting program at Sat Jan  8 20:20:12 2022

CUDA_PLAYOUT: 1, N_PLAYOUT: 256

play: 0
14, 123.960 [ms]
16, 114.508 [ms]
18, 106.179 [ms]
20, 93.663 [ms]
22, 84.436 [ms]
24, 78.806 [ms]
26, 67.482 [ms]
28, 59.124 [ms]
30, 52.544 [ms]
32, 45.763 [ms]
34, 40.951 [ms]
36, 34.333 [ms]
38, 28.338 [ms]
40, 23.281 [ms]
42, 19.624 [ms]
44, 14.939 [ms]
46, 11.734 [ms]
48, 9.177 [ms]
50, 6.644 [ms]
52, 4.399 [ms]
54, 2.571 [ms]
55, 1.660 [ms]
57, 0.602 [ms]
58, 0.331 [ms]

play: 9
 0, 211.924 [ms]
 2, 196.096 [ms]
 4, 183.075 [ms]
 6, 173.292 [ms]
 8, 164.948 [ms]
10, 147.281 [ms]
12, 135.100 [ms]
14, 124.788 [ms]
16, 114.076 [ms]
18, 102.039 [ms]
20, 92.826 [ms]
22, 85.720 [ms]
24, 76.900 [ms]
26, 66.565 [ms]
28, 59.880 [ms]
30, 53.104 [ms]
32, 48.264 [ms]
34, 41.405 [ms]
36, 35.755 [ms]
38, 30.173 [ms]
40, 25.049 [ms]
42, 20.197 [ms]
44, 16.172 [ms]
45, 13.979 [ms]
47, 10.998 [ms]
48, 9.394 [ms]
49, 7.521 [ms]
51, 5.056 [ms]
53, 3.159 [ms]
55, 1.408 [ms]
57, 0.406 [ms]
59, 0.286 [ms]


Program end at Sat Jan  8 20:57:49 2022

