Starting program at Sun Jan  9 12:07:08 2022

CUDA_PLAYOUT: 0, N_PLAYOUT: 1

play: 0
16, 3.941 [ms]
18, 3.702 [ms]
20, 3.463 [ms]
22, 3.226 [ms]
24, 2.947 [ms]
26, 2.795 [ms]
28, 2.554 [ms]
30, 2.337 [ms]
32, 2.122 [ms]
34, 1.920 [ms]
36, 1.724 [ms]
38, 1.519 [ms]
40, 1.314 [ms]
42, 1.124 [ms]
44, 0.959 [ms]
46, 0.790 [ms]
48, 0.638 [ms]
50, 0.481 [ms]
52, 0.373 [ms]
53, 0.323 [ms]
54, 0.271 [ms]
55, 0.219 [ms]
56, 0.172 [ms]
57, 0.140 [ms]
58, 0.090 [ms]
59, 0.046 [ms]

play: 9
 0, 5.800 [ms]
 2, 5.589 [ms]
 4, 5.358 [ms]
 6, 5.125 [ms]
 8, 4.916 [ms]
10, 4.677 [ms]
12, 4.447 [ms]
14, 4.196 [ms]
16, 4.034 [ms]
18, 3.788 [ms]
20, 3.568 [ms]
22, 3.329 [ms]
24, 3.076 [ms]
26, 2.830 [ms]
28, 2.608 [ms]
30, 2.366 [ms]
32, 2.131 [ms]
34, 1.931 [ms]
36, 1.734 [ms]
38, 1.525 [ms]
40, 1.330 [ms]
42, 1.154 [ms]
44, 0.958 [ms]
46, 0.766 [ms]
48, 0.611 [ms]
50, 0.469 [ms]
52, 0.336 [ms]
54, 0.245 [ms]
56, 0.142 [ms]
58, 0.074 [ms]
59, 0.046 [ms]


Program end at Sun Jan  9 12:08:26 2022

