Starting program at Sun Jan  9 15:57:31 2022

CUDA_PLAYOUT: 1, N_PLAYOUT: 256
N_SIMULATION: 100, EXPAND_BASE: 20

play: 0    ([ms])
 0, 215.611, 1477.036
 2, 201.903, 1415.035
 4, 189.003, 1362.302
 6, 172.431, 1274.024
 8, 161.292, 1087.667
10, 152.775, 1166.277
12, 141.412, 1103.531
14, 130.198, 1037.768
16, 122.733, 1000.090
18, 110.058, 914.476
20,  95.545, 833.146
22,  89.232, 777.022
24,  84.810, 717.214
26,  78.803, 661.156
28,  71.024, 609.179
30,  63.360, 559.654
32,  52.688, 497.363
34,  44.054, 443.988
36,  36.235, 387.835
38,  31.039, 330.277
40,  24.633, 288.266
42,  19.430, 239.308
44,  15.264, 202.619
46,  11.430, 166.209
48,   8.019, 127.935
50,   5.241,  94.474
52,   4.197,  81.958
55,   1.137,  35.768
57,   0.451,  16.379
59,   0.305,  10.007

play: 1    ([ms])
 0, 214.328, 1472.042
 2, 197.956, 1391.748
 4, 185.426, 1343.056
 6, 176.636, 1306.965
 8, 162.295, 1240.346
10, 153.794, 1187.453
12, 143.537, 1110.297
14, 129.446, 1046.527
16, 121.590, 1003.502
18, 110.049, 934.858
20, 101.804, 880.958
22,  88.068, 811.597
24,  87.010, 752.150
26,  78.239, 670.075
28,  67.482, 605.020
30,  58.749, 544.190
32,  54.555, 517.247
34,  47.590, 470.044
36,  41.239, 425.071
38,  32.947, 362.324
40,  28.964, 329.517
42,  22.704, 272.612
44,  19.293, 236.818
46,  14.862, 195.752
48,  10.954, 155.755
50,   7.761, 123.073
52,   5.024,  87.483
54,   3.048,  61.140
55,   1.641,  44.106
57,   0.634,  21.334
59,   0.306,   9.987

play: 2    ([ms])
 0, 208.813, 1452.853
 2, 196.982, 1404.601
 4, 186.283, 1358.769
 6, 171.177, 1288.909
 8, 160.852, 1233.348
10, 149.980, 1168.648
12, 145.978, 1139.014
14, 137.797, 1072.983
16, 124.505, 1018.245
18, 110.541, 938.552
20,  98.020, 867.739
22,  90.139, 823.536
24,  85.686, 759.002
26,  81.117, 698.576
28,  72.197, 630.881
30,  62.871, 568.446
32,  53.488, 495.749
34,  46.534, 451.243
36,  41.175, 414.887
38,  35.035, 368.143
40,  28.097, 316.689
42,  22.295, 266.889
44,  18.949, 240.337
46,  14.955, 202.871
48,  10.985, 162.643
50,   7.789, 126.274
52,   5.072,  93.267
54,   2.814,  61.476
56,   1.293,  38.577
57,   0.680,  26.051
58,   0.361,  13.256

play: 3    ([ms])
 0, 210.253, 1451.702
 2, 200.767, 1416.491
 4, 185.065, 1354.119
 6, 174.441, 1304.772
 8, 164.351, 1250.635
10, 153.018, 1190.847
12, 144.247, 1138.626
14, 128.484, 1048.049
16, 119.752, 982.070
18, 108.398, 919.355
20,  96.789, 853.505
22,  89.410, 794.090
24,  87.191, 741.697
26,  78.481, 654.830
28,  69.207, 595.162
30,  62.141, 542.396
