Starting program at Sun Jan  9 21:49:33 2022

CUDA_PLAYOUT: 1, N_PLAYOUT: 512
N_SIMULATION: 100, EXPAND_BASE: 20

play: 0    ([ms])
48,  10.555, 296.562
50,   7.555, 239.570
52,   4.836, 181.884
54,   2.976, 127.585
55,   1.907,  94.223
57,   0.582,  41.630
59,   0.310,  19.932

play: 8    ([ms])
 0, 233.963, 2905.310
 2, 223.204, 2826.767
 4, 207.920, 2683.433
 6, 195.611, 2570.834
 8, 181.914, 2434.656
10, 171.042, 2337.524
12, 155.703, 2159.532
14, 142.531, 2023.930
16, 131.719, 1937.875
18, 113.270, 1803.402
20, 100.891, 1702.551
22,  93.577, 1600.092
24,  87.312, 1481.531
26,  81.826, 1385.282
28,  72.351, 1267.214
30,  61.895, 1137.707
32,  53.758, 1028.609
34,  46.197, 922.442
36,  40.524, 822.863
38,  33.658, 709.666
40,  28.337, 617.791
42,  24.010, 537.138
44,  19.899, 466.459
46,  15.654, 388.600
48,  11.644, 318.608
50,   7.885, 241.523
52,   5.427, 181.473
53,   3.837, 148.295
55,   1.844,  90.746
57,   0.718,  50.417
59,   0.310,  19.958

play: 9    ([ms])
 0, 232.790, 2899.477
 2, 219.191, 2769.201
 4, 207.915, 2669.821
 6, 188.929, 2468.966
 8, 178.703, 2390.882
10, 175.967, 2385.673
12, 160.806, 2245.390
14, 148.807, 2144.940
16, 135.865, 2012.579
18, 124.482, 1913.864
20, 101.802, 1744.669
22,  92.868, 1618.071
24,  85.102, 1505.830
26,  80.948, 1396.617
28,  72.818, 1290.775
30,  63.768, 1183.118
32,  54.930, 1047.883
34,  45.378, 895.431
36,  39.138, 812.868
38,  32.072, 705.677
40,  26.310, 615.841
42,  20.919, 512.176
44,  16.940, 431.212
46,  13.525, 366.015
48,  10.364, 302.295
50,   7.317, 240.882
52,   4.777, 180.803
54,   2.687, 126.757
56,   0.994,  66.868
58,   0.373,  25.987


Program end at Mon Jan 10 09:14:20 2022

