Starting program at Mon Jan 17 12:53:24 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 8192, 100, 20
play, 0
16, 160.460,   0.000
18, 146.781,   0.000
20, 132.420,   0.000
22, 119.712,   0.000
24, 106.121,   0.000
26,  92.905,   0.000
28,  82.713,   0.000
30,  72.224,   0.000
32,  62.397,   0.000
34,  54.986,   0.000
36,  53.058,   0.000
37,  42.133,   0.000
39,  35.280,   0.000
41,  30.284,   0.000
43,  25.713,   0.000
45,  20.141,   0.000
47,  14.848,   0.000
49,  10.955,   0.000
50,   8.964,   0.000
52,   5.802,   0.000
54,   3.099,   0.000
56,   1.045,   0.000
58,   0.469,   0.000

play, 9
 0, 293.381,   0.000
 2, 279.038,   0.000
 4, 259.996,   0.000
 6, 242.355,   0.000
 8, 231.139,   0.000
10, 207.178,   0.000
12, 190.041,   0.000
14, 178.991,   0.000
16, 161.919,   0.000
18, 147.961,   0.000
20, 134.277,   0.000
22, 119.714,   0.000
24, 107.430,   0.000
26,  95.857,   0.000
28,  83.208,   0.000
30,  72.071,   0.000
32,  64.262,   0.000
34,  54.857,   0.000
36,  46.201,   0.000
38,  39.029,   0.000
40,  31.753,   0.000
42,  25.512,   0.000
44,  20.568,   0.000
46,  16.480,   0.000
48,  13.201,   0.000
50,   9.473,   0.000
52,   6.107,   0.000
54,   3.279,   0.000
56,   1.500,   0.000
57,   0.628,   0.000

play, 10
 0, 296.368,   0.000
 2, 276.921,   0.000
 4, 253.814,   0.000
 6, 236.333,   0.000
 8, 217.703,   0.000
10, 202.124,   0.000
12, 184.995,   0.000
14, 170.081,   0.000
16, 154.559,   0.000
18, 139.696,   0.000
20, 125.440,   0.000
22, 113.268,   0.000
24, 104.216,   0.000
26,  91.167,   0.000
28,  79.810,   0.000
30,  70.975,   0.000
32,  60.890,   0.000
34,  51.585,   0.000
36,  44.050,   0.000
38,  37.094,   0.000
40,  33.241,   0.000
42,  28.381,   0.000
44,  22.287,   0.000
46,  17.187,   0.000
48,  12.880,   0.000
50,   9.178,   0.000
52,   6.034,   0.000
54,   3.225,   0.000
56,   1.508,   0.000
58,   0.604,   0.000
59,   0.417,   0.000

play, 11
 0, 299.919,   0.000
 2, 278.322,   0.000
 4, 260.739,   0.000
 6, 242.779,   0.000
 8, 222.454,   0.000
10, 205.365,   0.000
12, 189.751,   0.000
14, 180.530,   0.000
16, 159.650,   0.000
18, 143.954,   0.000
20, 131.468,   0.000
22, 119.613,   0.000
24, 110.962,   0.000
26,  94.755,   0.000
28,  83.471,   0.000
30,  73.098,   0.000
32,  63.858,   0.000
34,  55.014,   0.000
36,  45.573,   0.000
38,  38.284,   0.000
40,  32.482,   0.000
42,  24.487,   0.000
44,  20.203,   0.000
46,  17.256,   0.000
48,  12.841,   0.000
50,   8.817,   0.000
52,   5.988,   0.000
53,   4.558,   0.000
55,   2.293,   0.000
57,   0.693,   0.000
59,   0.417,   0.000

play, 12
 0, 302.243,   0.000
 2, 277.049,   0.000
 4, 257.471,   0.000
 6, 237.951,   0.000
 8, 221.490,   0.000
10, 203.393,   0.000
12, 186.765,   0.000
14, 171.085,   0.000
16, 157.430,   0.000
18, 143.386,   0.000
20, 129.591,   0.000
22, 116.924,   0.000
24, 106.135,   0.000
26,  93.968,   0.000
28,  83.170,   0.000
30,  73.040,   0.000
32,  63.924,   0.000
34,  54.706,   0.000
36,  47.875,   0.000
38,  39.983,   0.000
40,  34.051,   0.000
42,  28.084,   0.000
44,  23.632,   0.000
46,  18.111,   0.000
48,  13.417,   0.000
50,   9.343,   0.000
52,   5.711,   0.000
54,   3.121,   0.000
56,   1.245,   0.000
58,   0.441,   0.000

play, 13
 0, 299.064,   0.000
 2, 276.152,   0.000
 4, 258.737,   0.000
 6, 242.651,   0.000
 8, 224.087,   0.000
10, 205.995,   0.000
12, 188.453,   0.000
14, 174.594,   0.000
16, 165.374,   0.000
18, 145.781,   0.000
20, 130.875,   0.000
22, 117.948,   0.000
24, 106.335,   0.000
26,  94.795,   0.000
28,  84.561,   0.000
30,  73.295,   0.000
32,  63.390,   0.000
34,  54.532,   0.000
36,  45.569,   0.000
38,  38.275,   0.000
40,  33.435,   0.000
42,  27.988,   0.000
44,  23.444,   0.000
46,  17.955,   0.000
48,  13.428,   0.000
50,   9.383,   0.000
52,   6.075,   0.000
54,   3.424,   0.000
56,   1.271,   0.000
58,   0.613,   0.000
59,   0.417,   0.000

play, 14
 0, 299.187,   0.000
 2, 277.495,   0.000
 4, 254.932,   0.000
 6, 241.279,   0.000
 8, 221.331,   0.000
10, 205.962,   0.000
12, 188.782,   0.000
14, 175.151,   0.000
16, 160.173,   0.000
18, 145.168,   0.000
20, 134.005,   0.000
22, 116.864,   0.000
24, 106.601,   0.000
26,  94.687,   0.000
28,  83.891,   0.000
30,  73.873,   0.000
32,  65.081,   0.000
34,  57.650,   0.000
36,  52.897,   0.000
37,  48.317,   0.000
