Starting program at Mon Jan 10 14:51:17 2022

Parameter: CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 2, 100, 20
play, 0
 2, 205.263,  22.012
 4, 190.782,  20.880
 6, 170.971,  19.350
 8, 159.007,  18.381
10, 151.293,  17.660
12, 141.042,  16.692
14, 130.718,  15.749
16, 118.352,  14.625
18, 109.744,  13.785
20, 100.861,  13.178
22,  90.605,  12.240
24,  81.089,  11.286
26,  73.048,  10.523
28,  65.752,   9.862
30,  57.944,   9.124
32,  50.812,   8.313
34,  43.233,   7.470
36,  37.289,   6.712
38,  31.680,   5.934
40,  26.288,   5.195
42,  21.245,   4.431
44,  16.748,   3.681
46,  12.883,   3.090
48,   9.422,   2.464
50,   6.717,   1.897
52,   4.347,   1.389
54,   2.405,   0.962
56,   0.865,   0.530
58,   0.302,   0.188

play, 4
 0, 218.531,  22.836
 2, 207.288,  22.232
 4, 193.766,  21.263
 6, 180.062,  20.151
 8, 167.619,  19.190
10, 155.500,  18.237
12, 142.894,  17.277
14, 132.198,  16.371
16, 120.770,  15.314
18, 110.661,  14.441
20, 101.453,  13.586
22,  90.254,  12.548
24,  82.821,  11.726
26,  74.620,  11.008
28,  66.413,  10.128
30,  58.377,   9.283
32,  50.921,   8.294
34,  43.739,   7.300
36,  37.591,   6.405
38,  31.951,   5.649
40,  26.465,   4.982
42,  21.739,   4.275
44,  17.096,   3.570
46,  12.960,   2.921
48,   9.628,   2.312
50,   7.490,   1.899
51,   5.968,   1.627
53,   3.427,   1.165
55,   1.857,   0.769
57,   0.401,   0.245
59,   0.278,   0.157


Parameter, 1, 8, 100, 20
play, 0
 0, 217.557,  45.650
 2, 205.544,  44.195
 4, 193.438,  42.573
 6, 179.844,  40.415
 8, 164.768,  38.087
10, 156.029,  36.997
12, 145.211,  35.277
14, 132.319,  33.217
16, 123.183,  31.690
18, 113.045,  29.789
20, 102.987,  27.889
22,  90.695,  25.396
24,  82.527,  23.746
26,  72.913,  21.780
28,  65.961,  20.364
30,  57.122,  18.257
32,  49.696,  16.583
34,  43.035,  14.653
36,  36.003,  12.822
38,  30.800,  11.388
40,  25.690,   9.965
42,  21.069,   8.490
44,  16.986,   7.133
46,  13.398,   5.971
48,   9.576,   4.675
50,   6.862,   3.634
52,   4.705,   2.853
53,   3.424,   2.295
55,   1.769,   1.500
57,   0.677,   0.812
58,   0.392,   0.551

play, 1
 0, 215.258,  45.441
 2, 205.647,  44.008
 4, 189.723,  41.720
 6, 174.876,  39.424
 8, 163.802,  37.768
10, 155.882,  36.683
12, 144.046,  34.832
14, 131.318,  32.429
16, 121.915,  30.989
18, 111.007,  29.104
20, 102.024,  27.697
22,  92.896,  25.943
24,  82.125,  23.568
26,  74.349,  22.043
28,  64.917,  19.863
30,  56.366,  17.852
32,  48.029,  15.774
34,  43.051,  14.674
36,  36.534,  12.941
38,  30.439,  11.082
40,  25.613,  10.034
42,  19.620,   8.243
44,  16.083,   7.173
46,  12.724,   6.108
48,   9.438,   5.091
50,   6.179,   3.749
52,   4.320,   2.862
54,   2.429,   1.930
56,   0.858,   1.052
58,   0.302,   0.375

play, 2
 0, 217.487,  45.584
 2, 203.993,  43.902
 4, 190.882,  41.861
 6, 178.357,  40.187
 8, 166.026,  38.210
10, 155.199,  36.409
12, 142.854,  34.427
14, 130.592,  32.251
16, 121.413,  30.800
18, 111.824,  29.146
20, 101.628,  27.491
22,  92.392,  25.910
24,  81.242,  23.608
26,  74.106,  21.908
28,  65.934,  20.041
30,  58.531,  18.274
32,  50.239,  16.326
34,  43.342,  14.656
36,  37.476,  13.225
38,  31.976,  11.716
40,  26.489,  10.225
42,  21.472,   8.751
44,  16.724,   7.251
46,  13.272,   6.086
48,   9.945,   4.867
50,   7.099,   3.775
52,   4.489,   2.752
54,   2.439,   1.875
56,   0.974,   1.126
58,   0.461,   0.684
59,   0.279,   0.317

play, 3
 0, 216.629,  45.599
 2, 204.025,  43.966
 4, 192.573,  42.288
 6, 173.698,  39.638
 8, 167.469,  38.787
10, 156.760,  37.135
12, 143.925,  34.982
14, 132.640,  33.131
16, 122.288,  31.881
18, 111.450,  29.324
20, 100.976,  27.447
22,  90.366,  25.444
24,  83.353,  23.961
26,  74.534,  22.054
28,  65.654,  20.072
30,  58.025,  18.354
32,  50.063,  16.386
34,  43.148,  14.644
36,  36.701,  13.149
38,  31.014,  11.530
40,  25.824,  10.057
42,  21.032,   8.675
44,  16.886,   7.263
