Starting program at Tue Feb 22 15:46:00 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 4096, 100, 20
play, 0
 6, 172.656,   0.000
 8, 162.089,   0.000
10, 148.592,   0.000
12, 136.343,   0.000
14, 126.598,   0.000
16, 116.336,   0.000
18, 103.810,   0.000
20,  94.137,   0.000
22,  84.875,   0.000
24,  75.596,   0.000
26,  67.949,   0.000
28,  59.810,   0.000
30,  52.161,   0.000
32,  44.954,   0.000
34,  38.513,   0.000
36,  33.958,   0.000
38,  27.035,   0.000
40,  22.268,   0.000
42,  18.855,   0.000
44,  15.570,   0.000
46,  12.860,   0.000
48,  10.065,   0.000
49,   8.385,   0.000
50,   6.707,   0.000
52,   4.560,   0.000
54,   2.556,   0.000
56,   1.179,   0.000
58,   0.559,   0.000
59,   0.375,   0.000

play, 4
 0, 214.222,   0.000
 2, 199.684,   0.000
 4, 185.847,   0.000
 6, 171.882,   0.000
 8, 159.018,   0.000
10, 148.096,   0.000
12, 136.707,   0.000
14, 127.316,   0.000
16, 117.982,   0.000
18, 105.356,   0.000
20,  94.928,   0.000
22,  86.198,   0.000
24,  76.954,   0.000
26,  68.467,   0.000
28,  60.208,   0.000
30,  53.184,   0.000
32,  46.016,   0.000
34,  40.348,   0.000
36,  36.440,   0.000
38,  30.292,   0.000
40,  26.315,   0.000
42,  20.962,   0.000
44,  16.898,   0.000
46,  13.368,   0.000
48,   9.987,   0.000
50,   7.102,   0.000
52,   4.665,   0.000
54,   2.641,   0.000
56,   0.953,   0.000
58,   0.422,   0.000


Parameter, 1, 5120, 100, 20
play, 0
 0, 212.048,   0.000
 2, 200.738,   0.000
 4, 185.632,   0.000
 6, 174.358,   0.000
 8, 162.402,   0.000
10, 151.082,   0.000
12, 139.062,   0.000
14, 127.969,   0.000
16, 116.657,   0.000
18, 105.172,   0.000
20,  95.835,   0.000
22,  87.135,   0.000
24,  77.640,   0.000
26,  69.081,   0.000
28,  63.924,   0.000
30,  55.567,   0.000
32,  49.049,   0.000
34,  40.745,   0.000
36,  33.878,   0.000
38,  28.601,   0.000
40,  23.305,   0.000
42,  18.625,   0.000
44,  15.065,   0.000
46,  11.686,   0.000
48,   8.496,   0.000
50,   6.150,   0.000
52,   4.039,   0.000
54,   2.219,   0.000
56,   0.874,   0.000
58,   0.403,   0.000

play, 1
 0, 211.978,   0.000
 2, 200.057,   0.000
 4, 183.180,   0.000
 6, 173.089,   0.000
 8, 160.218,   0.000
10, 147.868,   0.000
12, 137.472,   0.000
14, 124.815,   0.000
16, 113.430,   0.000
18, 103.292,   0.000
20,  95.400,   0.000
22,  84.123,   0.000
24,  75.115,   0.000
26,  67.692,   0.000
28,  59.995,   0.000
30,  53.063,   0.000
32,  47.701,   0.000
34,  39.709,   0.000
36,  33.625,   0.000
38,  28.519,   0.000
40,  23.623,   0.000
42,  20.509,   0.000
44,  16.996,   0.000
46,  13.136,   0.000
48,   9.807,   0.000
50,   6.947,   0.000
52,   4.548,   0.000
54,   2.711,   0.000
56,   1.127,   0.000
58,   0.566,   0.000
59,   0.382,   0.000

play, 2
 0, 215.117,   0.000
 2, 200.019,   0.000
 4, 187.215,   0.000
 6, 174.198,   0.000
 8, 160.469,   0.000
10, 147.118,   0.000
12, 137.031,   0.000
14, 123.651,   0.000
16, 112.790,   0.000
18, 101.888,   0.000
20,  94.941,   0.000
22,  92.874,   0.000
23,  78.317,   0.000
25,  69.498,   0.000
27,  62.475,   0.000
29,  57.113,   0.000
31,  48.426,   0.000
33,  44.335,   0.000
35,  42.843,   0.000
36,  38.301,   0.000
37,  34.494,   0.000
38,  31.366,   0.000
39,  28.078,   0.000
41,  23.505,   0.000
43,  19.247,   0.000
45,  14.880,   0.000
47,  11.508,   0.000
49,   8.449,   0.000
51,   5.640,   0.000
53,   3.442,   0.000
55,   1.607,   0.000
57,   0.899,   0.000
58,   0.562,   0.000
59,   0.381,   0.000

play, 3
 0, 212.947,   0.000
 2, 199.760,   0.000
 4, 182.168,   0.000
 6, 172.520,   0.000
 8, 159.665,   0.000
10, 150.681,   0.000
12, 137.612,   0.000
14, 125.257,   0.000
16, 114.198,   0.000
18, 103.620,   0.000
20,  94.116,   0.000
22,  86.093,   0.000
24,  76.822,   0.000
26,  68.785,   0.000
28,  60.808,   0.000
30,  60.463,   0.000
31,  51.661,   0.000
33,  49.489,   0.000
34,  45.494,   0.000
35,  40.503,   0.000
36,  36.484,   0.000
37,  33.239,   0.000
38,  22.713,   0.000

play, 4
 0, 213.497,   0.000
 2, 203.410,   0.000
 4, 185.061,   0.000
 6, 173.543,   0.000
 8, 161.743,   0.000
10, 149.522,   0.000
12, 137.669,   0.000
14, 125.844,   0.000
16, 115.930,   0.000
18, 105.732,   0.000
20,  96.131,   0.000
22,  86.524,   0.000
24,  77.063,   0.000
26,  68.143,   0.000
28,  60.581,   0.000
30,  52.603,   0.000
32,  46.871,   0.000
34,  38.588,   0.000
36,  32.711,   0.000
38,  26.909,   0.000
40,  22.237,   0.000
42,  18.127,   0.000
44,  14.579,   0.000
46,  13.023,   0.000
48,   9.503,   0.000
50,   6.742,   0.000
52,   4.536,   0.000
54,   2.620,   0.000
56,   1.217,   0.000
58,   0.427,   0.000


Parameter, 1, 5632, 100, 20
play, 0
 0, 215.149,   0.000
 2, 199.509,   0.000
 4, 185.659,   0.000
 6, 173.253,   0.000
 8, 160.510,   0.000
10, 147.911,   0.000
12, 137.141,   0.000
14, 125.345,   0.000
16, 114.420,   0.000
18, 103.702,   0.000
20,  93.790,   0.000
22,  83.527,   0.000
24,  74.542,   0.000
26,  66.624,   0.000
28,  59.423,   0.000
30,  51.826,   0.000
32,  45.831,   0.000
34,  39.594,   0.000
36,  34.880,   0.000
38,  29.697,   0.000
40,  25.894,   0.000
42,  20.986,   0.000
44,  16.494,   0.000
46,  13.205,   0.000
48,   9.633,   0.000
50,   6.731,   0.000
52,   4.696,   0.000
54,   2.625,   0.000
56,   1.241,   0.000
58,   0.497,   0.000
59,   0.387,   0.000

play, 1
 0, 212.103,   0.000
 2, 199.312,   0.000
 4, 182.323,   0.000
 6, 172.079,   0.000
 8, 160.553,   0.000
10, 150.025,   0.000
12, 137.723,   0.000
14, 128.731,   0.000
16, 115.239,   0.000
18, 106.482,   0.000
20,  95.727,   0.000
22,  85.850,   0.000
24,  76.747,   0.000
26,  67.625,   0.000
28,  59.639,   0.000
30,  52.105,   0.000
32,  45.431,   0.000
34,  39.627,   0.000
36,  33.756,   0.000
38,  28.495,   0.000
40,  24.415,   0.000
42,  21.508,   0.000
44,  17.159,   0.000
46,  13.276,   0.000
48,   9.875,   0.000
50,   6.878,   0.000
52,   4.587,   0.000
54,   2.554,   0.000
56,   1.068,   0.000
58,   0.501,   0.000
59,   0.385,   0.000

play, 2
 0, 212.554,   0.000
 2, 198.891,   0.000
 4, 185.817,   0.000
 6, 174.726,   0.000
 8, 163.861,   0.000
10, 151.622,   0.000
12, 139.033,   0.000
14, 128.226,   0.000
16, 117.366,   0.000
18, 106.821,   0.000
20,  97.529,   0.000
22,  87.985,   0.000
24,  80.793,   0.000
26,  72.204,   0.000
28,  63.231,   0.000
30,  55.657,   0.000
32,  49.216,   0.000
34,  41.026,   0.000
36,  34.743,   0.000
38,  29.625,   0.000
40,  24.069,   0.000
42,  18.635,   0.000
44,  14.550,   0.000
46,  10.857,   0.000
48,   8.555,   0.000
50,   6.068,   0.000
52,   4.452,   0.000
54,   2.373,   0.000
56,   1.009,   0.000
58,   0.432,   0.000

play, 3
 0, 215.218,   0.000
 2, 200.093,   0.000
 4, 185.947,   0.000
 6, 172.110,   0.000
 8, 158.911,   0.000
10, 148.692,   0.000
12, 136.791,   0.000
14, 124.914,   0.000
16, 113.771,   0.000
18, 103.787,   0.000
20,  95.423,   0.000
22,  85.024,   0.000
24,  76.260,   0.000
26,  68.383,   0.000
28,  63.378,   0.000
30,  54.885,   0.000
32,  47.846,   0.000
34,  42.775,   0.000
36,  36.062,   0.000
38,  31.623,   0.000
40,  25.659,   0.000
42,  21.783,   0.000
44,  17.455,   0.000
46,  13.498,   0.000
48,   9.999,   0.000
50,   7.359,   0.000
52,   4.798,   0.000
54,   2.638,   0.000
56,   1.173,   0.000
57,   0.665,   0.000
59,   0.385,   0.000

play, 4
 0, 212.017,   0.000
 2, 200.299,   0.000
 4, 185.634,   0.000
 6, 172.087,   0.000
 8, 162.264,   0.000
10, 153.142,   0.000
12, 138.395,   0.000
14, 126.127,   0.000
16, 115.817,   0.000
18, 105.299,   0.000
20,  94.970,   0.000
22,  85.441,   0.000
24,  76.803,   0.000
26,  68.096,   0.000
28,  61.198,   0.000
30,  55.050,   0.000
32,  46.538,   0.000
34,  40.138,   0.000
36,  33.697,   0.000
38,  28.569,   0.000
40,  22.917,   0.000
42,  19.270,   0.000
44,  16.509,   0.000
46,  13.037,   0.000
48,   9.643,   0.000
50,   6.883,   0.000
52,   4.299,   0.000
54,   2.640,   0.000
56,   1.216,   0.000
58,   0.499,   0.000
59,   0.387,   0.000


Parameter, 1, 6144, 100, 20
play, 0
 0, 214.629,   0.000
 2, 200.779,   0.000
 4, 187.775,   0.000
 6, 178.823,   0.000
 8, 162.788,   0.000
10, 150.738,   0.000
12, 138.095,   0.000
14, 127.383,   0.000
16, 118.173,   0.000
18, 106.634,   0.000
20,  96.436,   0.000
22,  86.722,   0.000
24,  78.497,   0.000
26,  69.678,   0.000
28,  61.706,   0.000
30,  54.067,   0.000
32,  47.767,   0.000
34,  40.381,   0.000
36,  34.325,   0.000
38,  28.592,   0.000
40,  23.451,   0.000
42,  18.852,   0.000
44,  14.800,   0.000
46,  11.268,   0.000
48,   9.767,   0.000
50,   6.838,   0.000
52,   4.499,   0.000
54,   2.799,   0.000
56,   1.039,   0.000

play, 1
 0, 213.137,   0.000
 2, 204.520,   0.000
 4, 186.629,   0.000
 6, 176.561,   0.000
 8, 162.501,   0.000
10, 150.821,   0.000
12, 139.849,   0.000
14, 127.392,   0.000
16, 116.753,   0.000
18, 107.915,   0.000
20,  98.140,   0.000
22,  89.028,   0.000
24,  78.929,   0.000
26,  71.324,   0.000
28,  64.381,   0.000
30,  54.503,   0.000
32,  47.283,   0.000
34,  40.407,   0.000
36,  34.467,   0.000
38,  29.286,   0.000
40,  23.573,   0.000
42,  18.947,   0.000
44,  14.779,   0.000
46,  12.286,   0.000
48,   9.384,   0.000
50,   6.383,   0.000
52,   4.261,   0.000
54,   2.241,   0.000
56,   0.980,   0.000
58,   0.436,   0.000

play, 2
 0, 212.867,   0.000
 2, 201.821,   0.000
 4, 183.493,   0.000
 6, 176.252,   0.000
 8, 160.389,   0.000
10, 149.732,   0.000
12, 138.223,   0.000
14, 126.583,   0.000
16, 115.789,   0.000
18, 106.332,   0.000
20,  96.330,   0.000
22,  87.282,   0.000
24,  78.423,   0.000
26,  69.092,   0.000
28,  60.901,   0.000
30,  53.049,   0.000
32,  46.822,   0.000
34,  39.246,   0.000
36,  33.415,   0.000
38,  28.590,   0.000
40,  23.301,   0.000
42,  18.343,   0.000
44,  15.344,   0.000
46,  12.296,   0.000
48,   9.462,   0.000
50,   6.947,   0.000
52,   4.518,   0.000
54,   2.529,   0.000
56,   0.826,   0.000
58,   0.414,   0.000

play, 3
 0, 212.503,   0.000
 2, 200.149,   0.000
 4, 186.436,   0.000
 6, 175.871,   0.000
 8, 162.163,   0.000
10, 151.139,   0.000
12, 139.384,   0.000
14, 127.539,   0.000
16, 116.595,   0.000
18, 106.949,   0.000
20,  96.365,   0.000
22,  86.748,   0.000
24,  77.341,   0.000
26,  71.889,   0.000
28,  61.229,   0.000
30,  54.087,   0.000
32,  46.371,   0.000
34,  39.825,   0.000
36,  33.614,   0.000
38,  27.825,   0.000
40,  23.888,   0.000
42,  18.223,   0.000
44,  14.140,   0.000
46,  10.337,   0.000
48,   8.079,   0.000
50,   6.436,   0.000
52,   4.398,   0.000
54,   2.502,   0.000
56,   0.933,   0.000
58,   0.412,   0.000

play, 4
 0, 213.672,   0.000
 2, 200.625,   0.000
 4, 187.152,   0.000
 6, 174.715,   0.000
 8, 163.287,   0.000
10, 150.834,   0.000
12, 139.748,   0.000
14, 127.826,   0.000
16, 117.072,   0.000
18, 107.126,   0.000
20,  95.970,   0.000
22,  87.144,   0.000
24,  78.639,   0.000
26,  69.126,   0.000
28,  62.196,   0.000
30,  53.246,   0.000
32,  46.032,   0.000
34,  39.204,   0.000
36,  33.668,   0.000
38,  28.417,   0.000
40,  24.045,   0.000
42,  21.483,   0.000
44,  17.152,   0.000
46,  13.209,   0.000
47,  11.690,   0.000
48,  10.205,   0.000
49,   8.435,   0.000
51,   5.783,   0.000
52,   4.209,   0.000
53,   2.451,   0.000
55,   1.779,   0.000
56,   0.714,   0.000


Parameter, 1, 6656, 100, 20
play, 0
 0, 217.372,   0.000
 2, 203.486,   0.000
 4, 190.296,   0.000
 6, 175.299,   0.000
 8, 164.078,   0.000
10, 152.534,   0.000
12, 139.638,   0.000
14, 127.272,   0.000
16, 115.946,   0.000
18, 108.233,   0.000
20, 100.242,   0.000
22,  87.211,   0.000
24,  77.896,   0.000
26,  68.858,   0.000
28,  61.110,   0.000
30,  54.331,   0.000
32,  46.638,   0.000
34,  40.587,   0.000
36,  34.851,   0.000
38,  29.784,   0.000
40,  24.684,   0.000
42,  21.799,   0.000
44,  17.436,   0.000
46,  13.915,   0.000
48,  10.692,   0.000
50,   7.511,   0.000
51,   6.725,   0.000
52,   5.062,   0.000
53,   3.689,   0.000
55,   1.797,   0.000
57,   0.721,   0.000
58,   0.579,   0.000
59,   0.393,   0.000

play, 1
 0, 218.206,   0.000
 2, 203.681,   0.000
 4, 188.580,   0.000
 6, 177.773,   0.000
 8, 165.911,   0.000
10, 152.413,   0.000
12, 139.947,   0.000
14, 129.655,   0.000
16, 118.641,   0.000
18, 108.683,   0.000
20,  99.141,   0.000
22,  88.606,   0.000
24,  79.331,   0.000
26,  70.379,   0.000
28,  62.488,   0.000
30,  54.978,   0.000
32,  49.056,   0.000
34,  40.344,   0.000
36,  33.908,   0.000
38,  28.501,   0.000
40,  23.282,   0.000
42,  18.314,   0.000
44,  14.114,   0.000
46,  10.524,   0.000
48,   8.333,   0.000
50,   6.175,   0.000
52,   4.131,   0.000
54,   2.186,   0.000
56,   1.012,   0.000
58,   0.437,   0.000

play, 2
 0, 217.255,   0.000
 2, 203.590,   0.000
 4, 189.340,   0.000
 6, 175.102,   0.000
 8, 162.065,   0.000
10, 153.170,   0.000
12, 139.018,   0.000
14, 127.916,   0.000
16, 116.506,   0.000
18, 106.345,   0.000
20,  96.886,   0.000
22,  87.006,   0.000
24,  78.325,   0.000
26,  68.593,   0.000
28,  60.364,   0.000
30,  53.449,   0.000
32,  46.078,   0.000
34,  39.282,   0.000
36,  33.785,   0.000
38,  29.336,   0.000
40,  26.047,   0.000
42,  21.703,   0.000
44,  17.690,   0.000
46,  13.739,   0.000
48,   9.933,   0.000
49,   8.114,   0.000
51,   5.455,   0.000
53,   3.324,   0.000
54,   2.134,   0.000
56,   0.928,   0.000
58,   0.439,   0.000

play, 3
 0, 217.769,   0.000
 2, 204.459,   0.000
 4, 190.188,   0.000
 6, 180.589,   0.000
 8, 164.572,   0.000
10, 156.923,   0.000
12, 144.354,   0.000
14, 129.185,   0.000
16, 118.038,   0.000
18, 107.813,   0.000
20,  97.787,   0.000
22,  90.047,   0.000
24,  80.102,   0.000
26,  71.338,   0.000
28,  63.464,   0.000
30,  56.062,   0.000
32,  47.799,   0.000
34,  41.284,   0.000
36,  34.672,   0.000
38,  28.845,   0.000
40,  23.648,   0.000
42,  18.782,   0.000
44,  14.581,   0.000
46,  10.975,   0.000
48,   7.932,   0.000
50,   6.090,   0.000
52,   4.619,   0.000
54,   2.675,   0.000
56,   1.281,   0.000
58,   0.438,   0.000

play, 4
 0, 216.456,   0.000
 2, 206.819,   0.000
 4, 189.786,   0.000
 6, 177.969,   0.000
 8, 165.614,   0.000
10, 157.342,   0.000
12, 140.816,   0.000
14, 131.698,   0.000
16, 114.870,   0.000
18, 103.440,   0.000
20,  93.725,   0.000
22,  86.901,   0.000
24,  76.645,   0.000
26,  69.495,   0.000
28,  61.177,   0.000
30,  53.433,   0.000
32,  46.563,   0.000
34,  40.049,   0.000
36,  33.424,   0.000
38,  28.294,   0.000
40,  30.075,   0.000
41,  20.168,   0.000
43,  17.928,   0.000
44,   5.737,   0.000


Parameter, 1, 7168, 100, 20
play, 0
 0, 250.279,   0.000
 2, 234.507,   0.000
 4, 214.834,   0.000
 6, 202.494,   0.000
 8, 186.057,   0.000
10, 173.525,   0.000
12, 160.659,   0.000
14, 147.483,   0.000
16, 134.896,   0.000
18, 120.619,   0.000
20, 108.932,   0.000
22,  98.626,   0.000
24,  89.358,   0.000
26,  79.229,   0.000
28,  70.249,   0.000
30,  61.202,   0.000
32,  53.400,   0.000
34,  47.879,   0.000
36,  38.285,   0.000
38,  31.745,   0.000
40,  26.233,   0.000
42,  23.298,   0.000
44,  19.461,   0.000
46,  15.198,   0.000
48,  11.205,   0.000
50,   7.852,   0.000
52,   5.142,   0.000
54,   2.695,   0.000
56,   1.171,   0.000
58,   0.443,   0.000

play, 1
 0, 254.668,   0.000
 2, 234.120,   0.000
 4, 216.748,   0.000
 6, 199.461,   0.000
 8, 185.442,   0.000
10, 171.719,   0.000
12, 156.748,   0.000
14, 143.458,   0.000
16, 129.933,   0.000
18, 117.285,   0.000
20, 109.714,   0.000
22, 107.169,   0.000
23,  90.610,   0.000
25,  81.056,   0.000
27,  74.592,   0.000
29,  72.674,   0.000
30,  68.704,   0.000
31,  58.257,   0.000
33,  49.786,   0.000
35,  49.742,   0.000
36,  40.757,   0.000
38,  38.825,   0.000
39,  31.109,   0.000
41,  27.326,   0.000
43,  22.926,   0.000
45,  17.750,   0.000
47,  12.423,   0.000
49,   8.902,   0.000
51,   6.215,   0.000
52,   4.962,   0.000
54,   2.637,   0.000
56,   1.074,   0.000
58,   0.443,   0.000

play, 2
 0, 249.699,   0.000
 2, 233.396,   0.000
 4, 218.390,   0.000
 6, 203.883,   0.000
 8, 185.345,   0.000
10, 171.235,   0.000
12, 155.980,   0.000
14, 142.981,   0.000
16, 133.219,   0.000
18, 119.848,   0.000
20, 113.037,   0.000
22,  98.125,   0.000
24,  87.246,   0.000
26,  78.063,   0.000
28,  68.627,   0.000
30,  60.258,   0.000
32,  51.958,   0.000
34,  45.189,   0.000
36,  39.524,   0.000
38,  31.325,   0.000
40,  26.398,   0.000
42,  19.525,   0.000
44,  15.025,   0.000
46,  11.382,   0.000
48,   8.064,   0.000
50,   6.185,   0.000
52,   4.761,   0.000
54,   2.619,   0.000
56,   0.993,   0.000
58,   0.441,   0.000

play, 3
 0, 251.891,   0.000
 2, 234.410,   0.000
 4, 217.083,   0.000
 6, 203.250,   0.000
 8, 191.699,   0.000
10, 172.475,   0.000
12, 158.045,   0.000
14, 144.324,   0.000
16, 130.963,   0.000
18, 118.697,   0.000
20, 107.375,   0.000
22,  96.907,   0.000
24,  85.694,   0.000
26,  75.874,   0.000
28,  66.936,   0.000
30,  58.772,   0.000
32,  51.006,   0.000
34,  43.345,   0.000
36,  38.214,   0.000
38,  37.041,   0.000
39,  32.498,   0.000
41,  25.645,   0.000
43,  21.042,   0.000
45,  16.644,   0.000
47,  12.666,   0.000
49,   9.304,   0.000
51,   6.339,   0.000
53,   3.697,   0.000
55,   1.704,   0.000
57,   0.605,   0.000

play, 4
 0, 252.003,   0.000
 2, 233.271,   0.000
 4, 218.544,   0.000
 6, 202.727,   0.000
