Starting program at Sun Jan  9 14:04:48 2022

CUDA_PLAYOUT: 1, N_PLAYOUT: 1
N_SIMULATION: 100, EXPAND_BASE: 20

play: 0    ([ms])
 0, 220.060,   5.839
 2, 204.483,   5.625
 4, 192.732,   5.386
 6, 179.301,   5.084
 8, 166.639,   4.852
10, 154.101,   4.600
12, 142.929,   4.365
14, 131.495,   4.140
16, 121.356,   3.870
18, 111.870,   3.679
20, 102.106,   3.481
22,  92.014,   3.207
24,  82.862,   2.974
26,  74.020,   2.766
28,  65.844,   2.518
30,  57.979,   2.300
32,  51.067,   2.113
34,  44.123,   1.894
36,  37.530,   1.671
38,  31.500,   1.461
40,  26.069,   1.260
42,  21.186,   1.072
44,  16.662,   0.886
46,  12.778,   0.730
48,   9.373,   0.590
50,   6.611,   0.454
52,   4.276,   0.343
54,   2.363,   0.230
56,   0.904,   0.127
58,   0.455,   0.085
59,   0.278,   0.040

play: 1    ([ms])
 0, 218.168,   5.809
 2, 204.685,   5.586
 4, 190.120,   5.272
 6, 176.062,   5.011
 8, 165.374,   4.786
10, 155.266,   4.601
12, 142.705,   4.350
14, 131.170,   4.099
16, 119.622,   3.804
18, 108.881,   3.526
20,  99.083,   3.277
22,  90.187,   3.074
24,  82.042,   2.830
25,  76.870,   2.699
27,  68.078,   2.445
29,  60.225,   2.216
31,  52.363,   1.970
33,  45.434,   1.742
35,  39.841,   1.524
37,  33.769,   1.307
39,  27.231,   1.223
41,  22.843,   1.080
43,  18.836,   0.948
45,  14.865,   0.792
47,  11.342,   0.660
49,   8.300,   0.526
51,   5.820,   0.402
52,   4.639,   0.345
54,   2.162,   0.218
56,   0.998,   0.131
58,   0.322,   0.052

play: 2    ([ms])
 0, 218.493,   5.815
 2, 205.548,   5.614
 4, 190.659,   5.283
 6, 174.708,   5.008
 8, 165.483,   4.805
10, 154.122,   4.634
12, 142.629,   4.368
14, 131.471,   4.124
16, 121.233,   3.919
18, 110.805,   3.688
20, 100.622,   3.461
22,  92.205,   3.281
24,  82.771,   3.039
26,  71.310,   2.711
28,  64.365,   2.530
30,  57.409,   2.348
32,  49.983,   2.113
34,  43.887,   1.910
36,  37.387,   1.725
38,  31.198,   1.502
40,  26.005,   1.309
42,  21.316,   1.108
44,  16.652,   0.939
46,  12.860,   0.764
48,   9.618,   0.599
50,   6.744,   0.471
52,   4.432,   0.341
54,   2.583,   0.242
55,   1.336,   0.172
57,   0.592,   0.098

play: 3    ([ms])
 0, 217.791,   5.816
 2, 205.025,   5.595
 4, 192.754,   5.375
 6, 181.214,   5.194
 8, 167.763,   4.931
10, 156.352,   4.706
12, 144.621,   4.441
14, 133.214,   4.209
16, 122.199,   3.957
18, 110.730,   3.730
20, 101.796,   3.522
22,  92.427,   3.274
24,  83.280,   3.042
26,  74.477,   2.767
28,  66.378,   2.531
30,  58.360,   2.287
32,  50.951,   2.084
34,  44.041,   1.857
36,  37.708,   1.675
38,  31.713,   1.469
40,  26.324,   1.284
42,  21.627,   1.127
44,  17.181,   0.948
46,  13.227,   0.776
48,   9.634,   0.614
50,   6.524,   0.462
52,   4.328,   0.333
54,   2.564,   0.237
56,   0.948,   0.139
