Starting program at Mon Feb 21 13:35:15 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 8192, 100, 20
play, 0
46,  42.560,   0.000
48,  30.947,   0.000
50,  20.826,   0.000
52,  13.465,   0.000
54,   7.175,   0.000
56,   2.947,   0.000
58,   0.634,   0.000

play, 4
 0, 674.976,   0.000
 2, 618.147,   0.000
 4, 569.690,   0.000
 6, 533.214,   0.000
 8, 493.300,   0.000
10, 455.303,   0.000
12, 418.877,   0.000
14, 380.779,   0.000
16, 356.952,   0.000
18, 320.952,   0.000
20, 292.713,   0.000
22, 266.794,   0.000
24, 239.637,   0.000
26, 217.356,   0.000
28, 192.307,   0.000
30, 170.629,   0.000
32, 146.042,   0.000
34, 124.729,   0.000
36, 105.866,   0.000
38,  89.428,   0.000
40,  81.206,   0.000
42,  69.547,   0.000
43,  60.602,   0.000
45,  45.912,   0.000
46,  40.972,   0.000
48,  29.536,   0.000
50,  21.833,   0.000
51,  17.055,   0.000
52,  12.899,   0.000
54,   7.062,   0.000
56,   2.477,   0.000
58,   0.628,   0.000


Parameter, 1, 25600, 100, 20
play, 0
 0, 1002.680,   0.000
 2, 945.131,   0.000
 4, 875.659,   0.000
 6, 814.745,   0.000
 8, 754.882,   0.000
10, 691.864,   0.000
12, 635.831,   0.000
14, 580.881,   0.000
16, 530.375,   0.000
18, 484.047,   0.000
20, 446.251,   0.000
22, 402.645,   0.000
24, 357.664,   0.000
26, 317.749,   0.000
28, 283.522,   0.000
30, 253.349,   0.000
32, 249.324,   0.000
33, 230.138,   0.000
34, 207.039,   0.000
36, 182.932,   0.000
38, 156.628,   0.000
40, 129.548,   0.000
42, 108.695,   0.000
44,  90.242,   0.000
45,  76.490,   0.000
47,  59.114,   0.000
48,  47.839,   0.000
50,  33.945,   0.000
51,  25.826,   0.000
53,  15.861,   0.000
55,   6.348,   0.000
57,   1.960,   0.000
59,   0.567,   0.000

play, 1
 0, 998.291,   0.000
 2, 943.977,   0.000
 4, 883.855,   0.000
 6, 826.004,   0.000
 8, 764.354,   0.000
10, 716.820,   0.000
12, 658.074,   0.000
14, 602.735,   0.000
16, 551.611,   0.000
18, 505.434,   0.000
20, 453.630,   0.000
22, 405.568,   0.000
24, 360.546,   0.000
26, 319.236,   0.000
28, 283.432,   0.000
30, 253.535,   0.000
32, 244.747,   0.000
33, 196.944,   0.000
35, 193.883,   0.000
36, 154.348,   0.000
38, 132.117,   0.000
40, 114.001,   0.000
42,  88.829,   0.000
44,  81.071,   0.000
46,  66.739,   0.000
48,  46.652,   0.000
50,  33.425,   0.000
51,  27.108,   0.000
52,  19.451,   0.000
54,   9.512,   0.000
56,   4.436,   0.000
58,   1.266,   0.000

play, 2
 0, 1000.620,   0.000
 2, 943.568,   0.000
 4, 887.617,   0.000
 6, 829.225,   0.000
 8, 764.878,   0.000
10, 711.570,   0.000
12, 655.175,   0.000
14, 598.237,   0.000
16, 544.958,   0.000
18, 505.782,   0.000
20, 442.700,   0.000
22, 403.037,   0.000
24, 365.106,   0.000
26, 330.324,   0.000
28, 294.517,   0.000
30, 258.628,   0.000
32, 223.070,   0.000
34, 194.722,   0.000
36, 162.102,   0.000
38, 131.915,   0.000
40, 110.533,   0.000
42,  88.016,   0.000
44,  69.882,   0.000
46,  51.350,   0.000
48,  36.230,   0.000
50,  29.073,   0.000
52,  19.128,   0.000
54,  10.772,   0.000
56,   3.854,   0.000
58,   1.118,   0.000
59,   0.566,   0.000

play, 3
 0, 1004.895,   0.000
 2, 942.748,   0.000
 4, 860.608,   0.000
 6, 791.974,   0.000
 8, 747.623,   0.000
10, 678.888,   0.000
12, 635.536,   0.000
14, 595.593,   0.000
16, 540.502,   0.000
18, 508.529,   0.000
20, 461.189,   0.000
22, 413.715,   0.000
24, 372.412,   0.000
26, 338.366,   0.000
28, 298.533,   0.000
30, 268.302,   0.000
32, 232.941,   0.000
34, 200.181,   0.000
36, 170.562,   0.000
38, 145.152,   0.000
40, 116.009,   0.000
42,  92.217,   0.000
44,  71.512,   0.000
46,  58.818,   0.000
48,  44.925,   0.000
50,  32.335,   0.000
52,  18.344,   0.000
54,   8.548,   0.000
56,   2.151,   0.000
58,   0.805,   0.000

play, 4
 0, 999.577,   0.000
 2, 941.712,   0.000
 4, 884.765,   0.000
 6, 833.490,   0.000
 8, 770.425,   0.000
10, 712.440,   0.000
12, 653.403,   0.000
14, 602.265,   0.000
16, 548.698,   0.000
18, 496.337,   0.000
20, 449.118,   0.000
22, 410.083,   0.000
24, 364.159,   0.000
26, 325.843,   0.000
28, 288.521,   0.000
30, 253.539,   0.000
32, 217.956,   0.000
34, 185.042,   0.000
36, 160.905,   0.000
38, 153.576,   0.000
39, 129.785,   0.000
41, 110.309,   0.000
43,  89.984,   0.000
45,  70.524,   0.000
47,  52.985,   0.000
49,  37.742,   0.000
51,  25.707,   0.000
53,  12.725,   0.000
55,   5.322,   0.000
57,   0.978,   0.000
59,   0.566,   0.000


Parameter, 1, 34304, 100, 20
play, 0
 0, 1371.979,   0.000
 2, 1282.169,   0.000
 4, 1196.072,   0.000
 6, 1128.172,   0.000
 8, 1037.596,   0.000
10, 975.853,   0.000
12, 896.513,   0.000
14, 818.758,   0.000
16, 752.974,   0.000
18, 680.067,   0.000
20, 616.731,   0.000
22, 325.392,   0.000
24, 493.925,   0.000
26, 437.553,   0.000
28,  36.321,   0.000

play, 1
 0, 1410.604,   0.000
 2, 1284.781,   0.000
 4, 1163.855,   0.000
 6, 1103.120,   0.000
 8, 1027.280,   0.000
10, 954.783,   0.000
12, 876.473,   0.000
14, 808.535,   0.000
16, 738.319,   0.000
18, 667.733,   0.000
20, 599.444,   0.000
22, 544.853,   0.000
24, 495.503,   0.000
26, 446.425,   0.000
28, 407.608,   0.000
30, 339.682,   0.000
32, 298.916,   0.000
34, 248.686,   0.000
36, 207.525,   0.000
38, 176.036,   0.000
40, 146.079,   0.000
42, 134.504,   0.000
44, 107.333,   0.000
46,  84.205,   0.000
48,  62.499,   0.000
50,  42.712,   0.000
52,  27.740,   0.000
54,  13.042,   0.000
57,   1.974,   0.000
59,   0.644,   0.000

play, 2
 0, 1375.819,   0.000
 2, 1301.369,   0.000
 4, 1206.926,   0.000
 6, 1115.350,   0.000
 8, 1058.886,   0.000
10, 965.458,   0.000
12, 894.169,   0.000
14, 826.617,   0.000
16, 749.205,   0.000
18, 679.425,   0.000
20, 613.220,   0.000
22, 551.632,   0.000
24, 485.175,   0.000
26, 437.267,   0.000
28, 402.436,   0.000
30, 390.489,   0.000
31, 363.921,   0.000
32, 341.118,   0.000
33, 315.931,   0.000
34, 255.851,   0.000
36, 218.250,   0.000
38, 183.451,   0.000
40, 158.536,   0.000
42, 149.419,   0.000
43, 129.709,   0.000
45,  99.750,   0.000
47,  76.078,   0.000
48,  62.533,   0.000
50,  47.666,   0.000
52,  23.018,   0.000
54,  10.552,   0.000
59,   0.643,   0.000

play, 3
 0, 1381.513,   0.000
 2, 1288.274,   0.000
 4, 1189.748,   0.000
 6, 1102.536,   0.000
 8, 1026.724,   0.000
10, 949.101,   0.000
12, 871.745,   0.000
14, 798.913,   0.000
16, 724.828,   0.000
18, 659.759,   0.000
20, 597.564,   0.000
22, 540.049,   0.000
24, 492.754,   0.000
26, 442.105,   0.000
28, 433.393,   0.000
29, 367.660,   0.000
31, 323.393,   0.000
33, 281.427,   0.000
35, 240.756,   0.000
37, 199.986,   0.000
39, 170.256,   0.000
41, 136.390,   0.000
43, 107.764,   0.000
45,  89.520,   0.000
47,  74.412,   0.000
49,  53.584,   0.000
51,  36.142,   0.000
53,  23.368,   0.000
55,   9.690,   0.000
57,   3.250,   0.000
58,   1.433,   0.000
59,   0.643,   0.000

play, 4
 0, 1361.560,   0.000
 2, 1280.809,   0.000
 4, 1206.049,   0.000
 6, 1108.072,   0.000
 8, 1057.047,   0.000
10, 960.804,   0.000
12, 883.108,   0.000
14, 819.342,   0.000
16, 774.276,   0.000
18, 683.776,   0.000
20, 646.777,   0.000
22, 568.514,   0.000
24, 506.463,   0.000
26, 455.861,   0.000
28, 406.524,   0.000
30, 352.908,   0.000
32, 301.973,   0.000
34, 258.315,   0.000
36, 220.279,   0.000
38, 184.869,   0.000
40, 152.779,   0.000
42, 126.302,   0.000
44, 104.417,   0.000
46,  85.737,   0.000
48,  62.451,   0.000
50,  44.578,   0.000
52,  28.402,   0.000
54,  14.359,   0.000
56,   3.878,   0.000
58,   0.811,   0.000


Parameter, 1, 43008, 100, 20
play, 0
 0, 1668.486,   0.000
 2, 1565.276,   0.000
 4, 1438.642,   0.000
 6, 1342.906,   0.000
 8, 1252.735,   0.000
10, 1154.863,   0.000
12, 1057.692,   0.000
14, 970.625,   0.000
16, 907.660,   0.000
18, 807.002,   0.000
20, 727.624,   0.000
22, 655.222,   0.000
24, 582.619,   0.000
26, 517.271,   0.000
28, 459.404,   0.000
30, 401.857,   0.000
32, 356.423,   0.000
34, 341.867,   0.000
35, 309.678,   0.000
36, 282.854,   0.000
37, 257.094,   0.000
39, 219.341,   0.000
41, 181.812,   0.000
43, 149.455,   0.000
45, 117.815,   0.000
47,  90.749,   0.000
49,  58.255,   0.000
51,  41.032,   0.000
52,  22.879,   0.000
53,  10.009,   0.000
54,   5.497,   0.000

play, 1
 0, 1691.062,   0.000
 2, 1565.353,   0.000
 4, 1465.161,   0.000
 6, 1359.545,   0.000
 8, 1267.326,   0.000
10, 1176.725,   0.000
12, 1092.989,   0.000
14, 996.629,   0.000
16, 928.583,   0.000
18, 852.192,   0.000
20, 788.020,   0.000
22, 679.235,   0.000
24, 599.532,   0.000
26, 539.409,   0.000
28, 484.843,   0.000
30, 424.881,   0.000
32, 364.483,   0.000
34, 314.181,   0.000
36, 260.742,   0.000
38, 216.010,   0.000
40, 178.376,   0.000
42, 142.132,   0.000
44, 110.195,   0.000
46,  80.479,   0.000
48,  58.100,   0.000
51,  34.903,   0.000
53,  21.310,   0.000
55,  11.407,   0.000
57,   3.323,   0.000
59,   0.884,   0.000

play, 2
 0, 1665.389,   0.000
 2, 1571.451,   0.000
 4, 1470.539,   0.000
 6, 1376.431,   0.000
 8, 1281.342,   0.000
10, 1194.146,   0.000
12, 1084.422,   0.000
14, 992.013,   0.000
16, 898.869,   0.000
18, 821.255,   0.000
20, 763.057,   0.000
22, 664.371,   0.000
24, 587.884,   0.000
26, 536.272,   0.000
28, 520.693,   0.000
29, 435.880,   0.000
31, 384.892,   0.000
33, 334.490,   0.000
35, 280.133,   0.000
37, 242.386,   0.000
39, 224.022,   0.000
41, 185.223,   0.000
42, 164.657,   0.000
44, 132.695,   0.000
46, 104.097,   0.000
48,  72.416,   0.000
50,  48.914,   0.000
52,  29.365,   0.000
54,  14.024,   0.000
56,   5.549,   0.000
58,   1.770,   0.000

play, 3
 0, 1657.623,   0.000
 2, 1565.476,   0.000
 4, 1450.289,   0.000
 6, 1346.213,   0.000
 8, 1241.026,   0.000
10, 1146.334,   0.000
12, 631.714,   0.000
14, 997.245,   0.000
16, 912.426,   0.000
18, 830.447,   0.000
20, 747.016,   0.000
22, 673.106,   0.000
24, 603.401,   0.000
26, 533.650,   0.000
28, 472.872,   0.000
30, 416.268,   0.000
32, 358.566,   0.000
34, 329.754,   0.000
36, 273.456,   0.000
38, 225.029,   0.000
40, 182.587,   0.000
42, 149.027,   0.000
44, 123.514,   0.000
46, 107.708,   0.000
48,  80.239,   0.000
50,  52.053,   0.000
52,  33.529,   0.000
54,  19.838,   0.000
55,  12.768,   0.000
57,   5.094,   0.000
59,   0.884,   0.000

play, 4
 0, 1671.405,   0.000
 2, 1565.422,   0.000
 4, 1438.461,   0.000
 6, 1342.896,   0.000
 8, 1250.681,   0.000
10, 1148.216,   0.000
12, 1051.683,   0.000
14, 967.393,   0.000
16, 901.056,   0.000
18, 808.657,   0.000
20, 728.222,   0.000
22, 656.056,   0.000
24, 585.173,   0.000
26, 584.064,   0.000
27, 493.234,   0.000
29, 447.209,   0.000
31, 434.174,   0.000
32, 377.192,   0.000
34, 352.810,   0.000
36, 319.316,   0.000
37, 293.061,   0.000
38, 267.836,   0.000
39, 228.502,   0.000
41, 205.392,   0.000
43, 166.947,   0.000
44, 132.868,   0.000
46, 115.856,   0.000
48,  86.657,   0.000
50,  60.644,   0.000
52,  39.108,   0.000
53,  25.154,   0.000
55,  14.424,   0.000
56,   7.256,   0.000
57,   2.690,   0.000


Parameter, 1, 51712, 100, 20
play, 0
 0, 2049.583,   0.000
 2, 1893.003,   0.000
 4, 1763.854,   0.000
 6, 1632.377,   0.000
 8, 1541.430,   0.000
10, 1424.824,   0.000
12, 1305.339,   0.000
14, 1203.440,   0.000
16, 1102.646,   0.000
18, 1012.937,   0.000
20, 945.787,   0.000
22, 828.884,   0.000
24, 739.645,   0.000
26, 659.850,   0.000
28, 580.905,   0.000
30, 509.872,   0.000
32, 433.578,   0.000
34, 369.299,   0.000
36, 309.603,   0.000
38, 260.981,   0.000
40, 212.252,   0.000
42, 168.068,   0.000
44, 126.720,   0.000
46,  97.823,   0.000
48,  86.911,   0.000
50,  63.929,   0.000
52,  37.677,   0.000
54,  21.561,   0.000
56,   9.335,   0.000
58,   2.620,   0.000
59,   0.974,   0.000

play, 1
 0, 2012.024,   0.000
 2, 1894.453,   0.000
 4, 1777.033,   0.000
 6, 1662.525,   0.000
 8, 1565.092,   0.000
10, 1450.203,   0.000
12, 1345.841,   0.000
14, 1239.546,   0.000
16, 1124.847,   0.000
18, 1037.593,   0.000
20, 946.478,   0.000
22, 850.136,   0.000
24, 749.797,   0.000
26, 672.867,   0.000
28, 588.547,   0.000
30, 511.533,   0.000
32, 434.260,   0.000
34, 376.406,   0.000
36, 327.404,   0.000
38, 271.431,   0.000
40, 220.010,   0.000
42, 176.216,   0.000
44, 139.253,   0.000
46, 103.963,   0.000
48,  81.045,   0.000
50,  63.510,   0.000
52,  39.524,   0.000
54,  21.475,   0.000
56,   8.588,   0.000
58,   2.036,   0.000
59,   0.977,   0.000

play, 2
 0, 2013.890,   0.000
 2, 1890.951,   0.000
 4, 1761.027,   0.000
 6, 1640.056,   0.000
 8, 1527.031,   0.000
10, 1433.200,   0.000
12, 1328.622,   0.000
14, 1219.682,   0.000
16, 1119.703,   0.000
18, 1006.859,   0.000
20, 913.087,   0.000
22, 820.832,   0.000
24, 730.970,   0.000
26, 643.471,   0.000
28, 573.163,   0.000
30, 496.653,   0.000
32, 441.332,   0.000
34, 425.912,   0.000
35, 345.197,   0.000
37, 296.501,   0.000
39, 276.711,   0.000
40, 248.987,   0.000
41, 225.756,   0.000
43, 204.322,   0.000
44, 194.963,   0.000
45, 150.179,   0.000
47, 132.830,   0.000
49,  99.638,   0.000
51,  74.471,   0.000
52,  49.262,   0.000
53,  34.468,   0.000

play, 3
 0, 2020.075,   0.000
 2, 1898.813,   0.000
 4, 1759.261,   0.000
 6, 1644.834,   0.000
 8, 1546.659,   0.000
10, 1403.801,   0.000
12, 1310.582,   0.000
14, 1212.700,   0.000
16, 1092.816,   0.000
18, 992.368,   0.000
20, 901.351,   0.000
22, 819.204,   0.000
24, 735.290,   0.000
26, 658.176,   0.000
28, 572.952,   0.000
30, 497.017,   0.000
32, 437.647,   0.000
34, 391.342,   0.000
36, 365.540,   0.000
37, 325.668,   0.000
38, 263.980,   0.000
40, 212.056,   0.000
42, 192.161,   0.000
44, 153.952,   0.000
46, 121.683,   0.000
48,  90.415,   0.000
50,  59.871,   0.000
52,  36.203,   0.000
54,  19.027,   0.000
56,   8.358,   0.000
58,   1.407,   0.000

play, 4
 0, 2030.500,   0.000
 2, 1913.610,   0.000
 4, 1769.425,   0.000
 6, 1647.637,   0.000
 8, 1516.937,   0.000
10, 1448.183,   0.000
12, 1309.253,   0.000
14, 1218.051,   0.000
16, 1104.818,   0.000
18, 992.244,   0.000
20, 896.644,   0.000
22, 808.589,   0.000
24, 721.768,   0.000
26, 664.137,   0.000
28, 638.686,   0.000
29, 531.158,   0.000
31, 467.854,   0.000
33, 424.380,   0.000
35, 352.266,   0.000
37, 302.598,   0.000
39, 253.944,   0.000
41, 214.291,   0.000
43, 188.305,   0.000
45, 147.907,   0.000
47, 116.265,   0.000
49,  81.471,   0.000
51,  52.596,   0.000
53,  31.726,   0.000
55,  15.299,   0.000
